scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
StandardScaler,Lasso,0.18977999999999998,0.1636484402614336,1251.39978,2784.89265433399,4320.76778,0.35544,0.18526978436863362,-2489154.90278,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,0.18835999999999997,0.18354207419553698,5.13558,0.6832120695655193,5.85982,0.28772000000000003,0.25849933655620855,0.0009199999999999958,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.1877,0.16326516774866584,3120.63208,6964.629565759338,10795.5671,0.3572,0.18743832318925602,-15561637.650640002,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,0.18525999999999998,0.31458171911285626,5.60994,0.9605723882144438,6.3883,0.20928,0.34743337778630307,-0.20242,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,0.18474000000000002,0.249645294367829,5.35622,0.8247841214523959,6.1035,0.24434000000000006,0.33262629631464796,-0.08048,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,0.18003999999999998,0.16479592834775986,5392.03536,12043.468805293032,18663.10342,0.35028,0.20279630667248355,-46527393.75676,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,0.16635999999999998,0.2431050451965158,5.156359999999999,0.5713876206219382,5.999899999999999,0.23212000000000002,0.3149675491221278,-0.08020000000000002,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,0.15630000000000002,0.21897019203535445,3734.88994,8337.924209196754,12922.69362,0.13402,0.4338780324008119,-22300231.11544,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.1532,0.2917707918897983,5.266920000000001,0.6807117356120724,5.9893,0.25178,0.42028447151899395,-0.06000000000000001,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,0.14200000000000002,0.16614434988888427,5.21016,0.6992811330216196,6.0964599999999995,0.18966,0.21266567188900043,-0.07307999999999999,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,0.13546,0.19982449299322647,5.54676,0.5059280017947217,6.2861199999999995,0.19169999999999998,0.3062420039772467,-0.1539,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,0.13487999999999997,0.3207991848493384,2812.36728,6274.920246165368,9727.38984,0.25311999999999996,0.4040816959477378,-12632204.4676,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,0.1345,0.3245730811389016,2155.33916,4805.390246458204,7451.258880000001,0.2569,0.3984245223376694,-7409169.955139999,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,0.13198,0.33637588647226185,5.67376,1.0272421053481016,6.5004599999999995,0.1566,0.3855671472000694,-0.26027999999999996,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,0.13004,0.32014904810103684,3898.1720200000004,8702.749114540282,13488.291999999998,0.25402,0.40085373517032374,-24296060.78718,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,0.12246000000000001,0.34058899424379524,5.9463799999999996,0.9560117321455842,6.7486999999999995,0.1648,0.40627923279439226,-0.42248,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,0.118,0.33619802944098287,93.75486,195.60348554802903,308.75614,0.22918000000000002,0.41786228233713557,-12271.00282,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,0.11792,0.20055443650041752,5.4918000000000005,0.6178783780000716,6.09806,0.21547999999999998,0.32085253933855656,-0.07642,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,0.09584000000000001,0.24635981409312682,5.62174,0.6155752780935896,6.492360000000001,0.10451999999999999,0.38988819807734626,-0.26042,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.08707999999999999,0.33684040286165196,5.932779999999999,0.870574518349808,6.8437600000000005,0.09354,0.36296570499153225,-0.40288,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.08428,0.20709897875170705,6.2751,0.9108107267703863,7.19324,0.08868,0.21248779259053918,-0.4943200000000001,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.07833999999999999,0.2807480507501343,5.71808,0.8268288922141025,6.5800600000000005,0.08738000000000001,0.32143496542846733,-0.26968000000000003,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,0.07692000000000002,0.3426502692250511,5.482519999999999,0.6022114802957512,6.398159999999999,0.08412,0.45190717741589365,-0.23455999999999996,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,0.07404,0.2720981220074846,5.7888399999999995,0.8172598778846297,6.894159999999999,0.07612,0.30026119795937667,-0.40065999999999996,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.06912,0.22072889933128376,4755.318740000001,10618.117908265811,16456.267320000003,0.21487999999999996,0.3135342676646366,-36167498.879760005,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.06654,0.2413002963114633,4639.8288999999995,10359.782534074862,16056.10372,0.19316,0.32316120280751526,-34429194.54356,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,0.06592,0.23775110304686287,4704.78394,10505.116755095603,16281.203600000003,0.19816,0.32425226753254943,-35401880.061000004,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.057019999999999994,0.21416334186783692,5.85446,0.9530343372617802,6.796139999999999,0.06916000000000001,0.25628026260326797,-0.3188,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,0.05693999999999999,0.11767928024932851,5.565980000000001,0.7169137967705738,6.413820000000001,0.08078,0.16442441120466267,-0.1739,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,0.026060000000000007,0.21651535280436812,5.814579999999999,0.7404652807525818,6.71448,0.03902,0.27593620095956967,-0.30592,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,0.01171999999999999,0.3062962079425731,8075.0719,18040.17822126474,27955.70684,-0.08336,0.3928773129107864,-104400869.3977,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,0.010659999999999992,0.270114509051254,5.71992,0.5818683674165489,6.4581,0.021139999999999992,0.3884762901387934,-0.22916000000000003,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,0.010479999999999995,0.34620253754124913,6.21518,1.090839780627751,7.23524,0.02000000000000001,0.3813388322738716,-0.5667799999999998,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,0.00245999999999999,0.33122316947943115,5.645239999999999,0.7484845375824407,6.5408,-0.012280000000000003,0.46886186345233927,-0.2833799999999999,5,negative_training,ADK,phq_8,PHQ8,cross-corpus-882
